2019-10-16 13:35:33 status unpacked python2.7:amd64 2.7.16-2ubuntu0.1
2019-10-16 13:35:33 status half-installed python2.7:amd64 2.7.16-2ubuntu0.1
2019-10-16 13:35:33 status triggers-pending bamfdaemon:amd64 0.5.3+18.04.20180207.2-0ubuntu1
2019-10-16 13:35:33 status triggers-pending gnome-menus:amd64 3.32.0-1ubuntu1
2019-10-16 13:35:33 status triggers-pending desktop-file-utils:amd64 0.23-4ubuntu1
2019-10-16 13:35:33 status triggers-pending mime-support:all 3.60ubuntu1
2019-10-16 13:35:33 status unpacked python2.7:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:33 upgrade libpython2.7-stdlib:amd64 2.7.16-2ubuntu0.1 2.7.16-2ubuntu0.2
2019-10-16 13:35:33 status half-configured libpython2.7-stdlib:amd64 2.7.16-2ubuntu0.1
2019-10-16 13:35:33 status unpacked libpython2.7-stdlib:amd64 2.7.16-2ubuntu0.1
2019-10-16 13:35:33 status half-installed libpython2.7-stdlib:amd64 2.7.16-2ubuntu0.1
2019-10-16 13:35:34 status unpacked libpython2.7-stdlib:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:34 upgrade python2.7-minimal:amd64 2.7.16-2ubuntu0.1 2.7.16-2ubuntu0.2
2019-10-16 13:35:34 status half-configured python2.7-minimal:amd64 2.7.16-2ubuntu0.1
2019-10-16 13:35:34 status unpacked python2.7-minimal:amd64 2.7.16-2ubuntu0.1
2019-10-16 13:35:34 status half-installed python2.7-minimal:amd64 2.7.16-2ubuntu0.1
2019-10-16 13:35:34 status unpacked python2.7-minimal:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:34 upgrade libpython2.7-minimal:amd64 2.7.16-2ubuntu0.1 2.7.16-2ubuntu0.2
2019-10-16 13:35:34 status half-configured libpython2.7-minimal:amd64 2.7.16-2ubuntu0.1
2019-10-16 13:35:34 status unpacked libpython2.7-minimal:amd64 2.7.16-2ubuntu0.1
2019-10-16 13:35:34 status half-installed libpython2.7-minimal:amd64 2.7.16-2ubuntu0.1
2019-10-16 13:35:34 status unpacked libpython2.7-minimal:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:35 startup packages configure
2019-10-16 13:35:35 configure libpython2.7-minimal:amd64 2.7.16-2ubuntu0.2 <ninguna>
2019-10-16 13:35:35 status unpacked libpython2.7-minimal:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:35 status half-configured libpython2.7-minimal:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:35 status installed libpython2.7-minimal:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:35 configure python2.7-minimal:amd64 2.7.16-2ubuntu0.2 <ninguna>
2019-10-16 13:35:35 status unpacked python2.7-minimal:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:35 status half-configured python2.7-minimal:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:35 status installed python2.7-minimal:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:35 configure libpython2.7-stdlib:amd64 2.7.16-2ubuntu0.2 <ninguna>
2019-10-16 13:35:35 status unpacked libpython2.7-stdlib:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:35 status half-configured libpython2.7-stdlib:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:35 status installed libpython2.7-stdlib:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:35 configure libpython2.7:amd64 2.7.16-2ubuntu0.2 <ninguna>
2019-10-16 13:35:35 status unpacked libpython2.7:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:35 status half-configured libpython2.7:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:35 status installed libpython2.7:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:35 configure libpython2.7-dev:amd64 2.7.16-2ubuntu0.2 <ninguna>
2019-10-16 13:35:35 status unpacked libpython2.7-dev:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:35 status half-configured libpython2.7-dev:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:35 status installed libpython2.7-dev:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:35 configure python2.7:amd64 2.7.16-2ubuntu0.2 <ninguna>
2019-10-16 13:35:35 status unpacked python2.7:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:35 status half-configured python2.7:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:37 status installed python2.7:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:37 configure python2.7-dev:amd64 2.7.16-2ubuntu0.2 <ninguna>
2019-10-16 13:35:37 status unpacked python2.7-dev:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:37 status half-configured python2.7-dev:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:37 status installed python2.7-dev:amd64 2.7.16-2ubuntu0.2
2019-10-16 13:35:37 trigproc desktop-file-utils:amd64 0.23-4ubuntu1 <ninguna>
2019-10-16 13:35:37 status half-configured desktop-file-utils:amd64 0.23-4ubuntu1
2019-10-16 13:35:37 status installed desktop-file-utils:amd64 0.23-4ubuntu1
2019-10-16 13:35:37 trigproc mime-support:all 3.60ubuntu1 <ninguna>
2019-10-16 13:35:37 status half-configured mime-support:all 3.60ubuntu1
2019-10-16 13:35:37 status installed mime-support:all 3.60ubuntu1
2019-10-16 13:35:37 trigproc gnome-menus:amd64 3.32.0-1ubuntu1 <ninguna>
2019-10-16 13:35:37 status half-configured gnome-menus:amd64 3.32.0-1ubuntu1
